epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.2759,1.54353,3.8421,1.4597,0.0015,0.45,0.00669,0.00381,1.27323,3.98611,1.7971,4e-05,4e-05,4e-05
2,38.0717,1.40618,3.55653,1.38267,0.0025,0.75,0.13355,0.06436,1.14204,3.50301,1.3241,9.868e-05,9.868e-05,9.868e-05
3,58.1501,1.26141,3.37968,1.20651,0.003,0.9,0.75181,0.47588,0.99112,3.28205,1.10549,0.000155776,0.000155776,0.000155776
4,75.4944,1.22774,2.96984,1.16636,0.00333,1,0.90527,0.52731,1.09696,3.30641,1.1484,0.000211288,0.000211288,0.000211288
5,94.2097,1.30081,2.51842,1.12836,0.00333,1,0.96977,0.59963,1.06007,3.12925,1.0926,0.000265216,0.000265216,0.000265216
6,113.542,1.24426,2.11882,1.11986,0.00333,1,0.98591,0.51317,1.1517,3.09848,1.14198,0.00031756,0.00031756,0.00031756
7,131.723,1.35009,1.97125,1.15242,0.00868,1,0.995,0.56652,1.13652,3.09352,1.11066,0.00036832,0.00036832,0.00036832
8,152.046,1.28053,1.78471,1.10124,1,0.65187,0.99024,0.58147,1.13227,3.08084,1.12381,0.000417496,0.000417496,0.000417496
9,169.153,1.23659,1.91667,1.06617,1,0.2653,0.97125,0.56055,1.09878,3.05875,1.1563,0.000465088,0.000465088,0.000465088
10,185.505,1.2125,1.71052,1.11531,1,0.63806,0.97318,0.5841,1.09397,3.01295,1.15907,0.000511096,0.000511096,0.000511096
11,202.346,1.24384,1.68061,1.07856,0.98746,0.8,0.93573,0.52162,1.2355,3.04817,1.21287,0.00055552,0.00055552,0.00055552
12,220.439,1.187,1.67789,1.09106,1,0.3588,0.8443,0.51217,1.28079,3.06492,1.23691,0.00059836,0.00059836,0.00059836
13,237.931,1.24064,1.69977,1.1311,1,0.14556,0.86631,0.51001,1.34223,2.97038,1.21597,0.000639616,0.000639616,0.000639616
14,255.035,1.2743,1.67635,1.14327,1,0.32445,0.83064,0.51016,1.20402,2.89392,1.17794,0.000679288,0.000679288,0.000679288
15,271.623,1.22485,1.61544,1.10195,0.9916,0.35,0.63601,0.38673,1.29883,2.98903,1.18197,0.000717376,0.000717376,0.000717376
